operator_id,name,category,agent_tier,definition,input_shape,output_shape,assumptions_in,assumptions_out,side_effects,dependencies,statefulness,sync_mode,destruction_score,risk_type,risk_reason,requires_confirmation,sandbox_required,promotion_ready,contract_status,category_confidence,source_file
repo_canonical_evidence_writers,locate_canonical_evidence_writers,authority_gap_locator,worker,[worker] report missing authority required to establish canonical evidence writers,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_untested_privileged_sinks,locate_untested_privileged_sinks,authority_gap_locator,worker,[worker] report missing sink and test authority for untested privileged paths,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_unresolved_privileged_reachability,locate_unresolved_privileged_reachability,authority_gap_locator,worker,[worker] report missing authority for unresolved privileged reachability,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_detached_subgraphs,locate_detached_subgraphs,static_graph_locator,worker,[worker] locate module candidates with no uniquely resolved cross-file incoming calls,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_no_incoming_dependencies,locate_no_incoming_dependencies,static_graph_locator,worker,[worker] locate classes and functions with no uniquely resolved incoming calls,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_documentation_without_code,locate_documentation_claims_without_code,authority_gap_locator,worker,[worker] report missing document claim bindings,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_code_without_documentation,locate_code_without_documentation,authority_gap_locator,worker,[worker] report missing code capability to documentation bindings,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
repo_duplicate_implementations,locate_duplicate_implementations,static_graph_locator,worker,[worker] locate exact duplicate spans and same-name implementation candidates,map_dir:path|limit:int,truecore.worker_result@1,Input is a verified TrueMachine repository map,Returns locations or explicit missing graph authority without security conclusions,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only repository graph investigation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/repository_graph_workers.py
fs.list,filesystem_list,machine_navigation,worker,[worker] list bounded entries beneath one host-bound filesystem root,root_path:host_binding|parameters:typed|limits:host_binding,truecore.worker_result@1,Root and budgets are supplied by the host; request path is relative,Returns observed locations and measurements without an answer or safety judgment,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only bounded filesystem observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
fs.find,filesystem_find,machine_navigation,worker,[worker] find bounded exact-name substrings beneath one host-bound filesystem root,root_path:host_binding|parameters:typed|limits:host_binding,truecore.worker_result@1,Root and budgets are supplied by the host; request path is relative,Returns observed locations and measurements without an answer or safety judgment,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only bounded filesystem observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
fs.read_metadata,filesystem_read_metadata,machine_navigation,worker,[worker] read metadata for one bounded filesystem location,root_path:host_binding|parameters:typed|limits:host_binding,truecore.worker_result@1,Root and budgets are supplied by the host; request path is relative,Returns observed locations and measurements without an answer or safety judgment,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only bounded filesystem observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
fs.hash,filesystem_hash,machine_navigation,worker,[worker] hash one bounded regular file,root_path:host_binding|parameters:typed|limits:host_binding,truecore.worker_result@1,Root and budgets are supplied by the host; request path is relative,Returns an exact file hash and location without an answer or safety judgment,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only bounded filesystem observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
integrity.verify,repository_integrity_verify,machine_integrity,worker,[worker] verify one host-bound immutable repository and derived-view snapshot,root_path:host_binding|parameters:empty|limits:host_binding,truecore.worker_result@1,Snapshot path manifest hash and grants are supplied by the host,Returns exact changed locations or a verified receipt without restoring or attributing an offender,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only deterministic integrity verification,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
fs.disk_usage,filesystem_disk_usage,machine_navigation,worker,[worker] measure bounded recursive filesystem usage,root_path:host_binding|parameters:typed|limits:host_binding,truecore.worker_result@1,Root and budgets are supplied by the host; request path is relative,Returns observed counts and bytes without an answer or safety judgment,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only bounded filesystem observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
fs.duplicate_scan,filesystem_duplicate_scan,machine_navigation,worker,[worker] locate byte-identical files under bounded budgets,root_path:host_binding|parameters:typed|limits:host_binding,truecore.worker_result@1,Root and budgets are supplied by the host; request path is relative,Returns hash-grouped locations without deleting or recommending deletion,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only bounded filesystem observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
process.list,process_list,machine_observation,worker,[worker] list bounded process status observations from a host-bound procfs root,root_path:host_binding|parameters:typed|limits:host_binding,truecore.worker_result@1,Procfs root and budgets are supplied by the host,Returns process locations and explicit unresolved reads without signaling processes,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only bounded process observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
package.inventory,package_inventory,machine_observation,worker,[worker] read bounded pacman local package records,root_path:host_binding|parameters:typed|limits:host_binding,truecore.worker_result@1,Pacman local database root and budgets are supplied by the host,Returns exact package record locations and selected declared fields,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only bounded package observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
device.inventory,device_inventory,machine_observation,worker,[worker] read bounded Linux sysfs block-device facts,root_path:host_binding|parameters:typed|limits:host_binding,truecore.worker_result@1,Sysfs root and budgets are supplied by the host,Returns sysfs-backed block-device locations and fields without mutation,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only bounded device observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
mount.inspect,mount_inspect,machine_observation,worker,[worker] read bounded Linux mountinfo records,root_path:host_binding|parameters:typed|limits:host_binding,truecore.worker_result@1,Procfs root and budgets are supplied by the host,Returns mount locations and explicit missing UUID authority,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only bounded mount observation,NO,NO,YES,PARTIAL,HIGH,truecore/agents/machine_navigation_workers.py
network.status,network_status,machine_observation,worker,[worker] read bounded Linux sysfs network interface state,root_path:host_binding|parameters:typed|limits:host_binding,truecore.worker_result@1,Sysfs network root and budgets are supplied by the host,Returns interface state counters and explicit unresolved reads,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only bounded network observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
log.query,log_query,machine_observation,worker,[worker] query a host-bound UTF-8 log under byte and result budgets,root_path:host_binding|parameters:typed|limits:host_binding,truecore.worker_result@1,Log root and budgets are supplied by the host; request path is relative,Returns matching physical lines without interpreting them,read,python|truemachine,STATELESS,SYNC,1,audit_read,read-only bounded log observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
service.status,service_status,machine_observation,worker,[worker] read one systemd unit through a hash-bound systemctl executable,root_path:host_bound_executable|parameters:typed|limits:host_binding,truecore.worker_result@1,Exact executable hash and timeout/output budgets are supplied by the host,Returns selected systemd show fields and process receipt without changing the unit,read|subprocess,python|truemachine|systemctl,STATELESS,SYNC,1,audit_read,fixed argv read-only service observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
repo.status,repository_status,machine_observation,worker,[worker] read one host-bound Git repository status and optional remotes,root_path:host_bound_repository|parameters:typed|limits:host_binding,truecore.worker_result@1,Repository root and exact Git executable hash are supplied by the host,Returns porcelain-v2 status and optional remote lines with optional locks disabled,read|subprocess,python|truemachine|git,STATELESS,SYNC,1,audit_read,fixed argv read-only Git observation,NO,NO,YES,COMPLETE,HIGH,truecore/agents/machine_navigation_workers.py
job_patch_files,patch_files,bounded_job,worker,Apply exact admitted source bytes with preserved pre-state and post-state verification,host_bound_plan_and_step,truecore.worker_result@1,,,write,,BOUNDED_JOB,SYNC,2,bounded_source_update,Only exact host-admitted targets and payload hashes,YES,NO,YES,BOUNDED_LOCAL_APPLICATION_NOT_OS_SANDBOX,CODE_DECLARED,truecore/agents/bounded_job_workers.py
job_acceptance_run,acceptance_run,bounded_job,worker,Run one hash-bound external Python acceptance script with bounded process output,host_bound_plan_and_step,truecore.worker_result@1,,,write,,BOUNDED_JOB,SYNC,2,external_acceptance,Exact admitted script and source bindings; not an OS sandbox,YES,NO,YES,BOUNDED_LOCAL_APPLICATION_NOT_OS_SANDBOX,CODE_DECLARED,truecore/agents/bounded_job_workers.py
job_history_readiness,history_readiness,bounded_job,worker,Report historical evidence prerequisites without inventing attribution,host_bound_plan_and_step,truecore.worker_result@1,,,read,,BOUNDED_JOB,SYNC,1,evidence_readiness,Readiness is not historical analysis,NO,NO,YES,BOUNDED_LOCAL_APPLICATION_NOT_OS_SANDBOX,CODE_DECLARED,truecore/agents/bounded_job_workers.py
job_history_order,history_order,bounded_job,worker,Project admitted TrueMem chat blocks with speaker identity and explicit order only,host_bound_plan_and_step,truecore.worker_result@1,,,write,,BOUNDED_JOB,SYNC,1,evidence_projection,Order is not causation or ownership of quotations,NO,NO,YES,BOUNDED_LOCAL_APPLICATION_NOT_OS_SANDBOX,CODE_DECLARED,truecore/agents/bounded_job_workers.py
job_graph_review,graph_review,bounded_job,worker,Execute the fifteen graph workers and preserve historical map and unsupported authority,host_bound_plan_and_step,truecore.worker_result@1,,,write,,BOUNDED_JOB,SYNC,1,graph_review,Static candidates are not security or causal proof,NO,NO,YES,BOUNDED_LOCAL_APPLICATION_NOT_OS_SANDBOX,CODE_DECLARED,truecore/agents/bounded_job_workers.py
